category,item_key,name,qty,notes,aliexpress_url,amazon_url,pcbway_url,other_urls,all_urls
Components,motor-servo-360,Motor Servo 360°,2,,https://s.click.aliexpress.com/e/_c4Mt1xX9,https://geni.us/lLyvL,,,https://s.click.aliexpress.com/e/_c4Mt1xX9 | https://geni.us/lLyvL
Components,mpu-6050-three-axis-acceleration-gyroscope,MPU-6050 Three-axis Acceleration Gyroscope,1,Solder onto the main controller PCB,https://s.click.aliexpress.com/e/_c4ldyR3R,,,,https://s.click.aliexpress.com/e/_c4ldyR3R
Components,brushless-gimbal-motor-2208-80t,Brushless Gimbal Motor 2208 80T,2,,https://s.click.aliexpress.com/e/_c3tG0QUT,https://geni.us/aJLN7F,,,https://s.click.aliexpress.com/e/_c3tG0QUT | https://geni.us/aJLN7F
Components,neodymium-magnet-4x1mm,Neodymium Magnet 4x1mm,2,,https://s.click.aliexpress.com/e/_c3iNtXQx,https://geni.us/9jv2s,,,https://s.click.aliexpress.com/e/_c3iNtXQx | https://geni.us/9jv2s
Components,battery-1100mah-1500mah-30c,Battery 1100mAh-1500mAh 30c,1,7.4v 30c xt30,https://s.click.aliexpress.com/e/_c2zxtOiz,https://geni.us/QuVH8,,,https://s.click.aliexpress.com/e/_c2zxtOiz | https://geni.us/QuVH8
Components,battery-charger,Battery Charger,4,,https://s.click.aliexpress.com/e/_c3ojd7Pz,https://geni.us/Bj3CH,,,https://s.click.aliexpress.com/e/_c3ojd7Pz | https://geni.us/Bj3CH
Components,gh1-25-4pin-double-ended-cables,GH1.25 4PIN double-ended cables,4,15cm - Pre-made or make it yourself,https://s.click.aliexpress.com/e/_c4XsWssx,https://geni.us/tyToXQ,,,https://s.click.aliexpress.com/e/_c4XsWssx | https://geni.us/tyToXQ
Components,bearing-3x6x2mm,Bearing 3x6x2mm,4,SMR63 3x6x2,https://s.click.aliexpress.com/e/_c4bXpRJ5,https://www.amazon.com/SMR63-Bearing-ABEC-7-Stainless-Bearings/dp/B0FHD8FYY2/ref=sr_1_3?sr=8-3,,,https://s.click.aliexpress.com/e/_c4bXpRJ5 | https://www.amazon.com/SMR63-Bearing-ABEC-7-Stainless-Bearings/dp/B0FHD8FYY2/ref=sr_1_3?sr=8-3
Components,bearing-4x7x2-5mm,Bearing 4x7x2.5mm,4,MR74ZZ 4x7x2.5,https://s.click.aliexpress.com/e/_c36xZYen,https://geni.us/dhIe9i0,,,https://s.click.aliexpress.com/e/_c36xZYen | https://geni.us/dhIe9i0
Components,cylindrical-pin-4x12mm,Cylindrical Pin 4x12mm,2,,https://s.click.aliexpress.com/e/_c3lECaQP,https://geni.us/s9jX,,,https://s.click.aliexpress.com/e/_c3lECaQP | https://geni.us/s9jX
Components,rubber-band-elastic,Rubber Band Elastic,2,,https://s.click.aliexpress.com/e/_c3lECaQP,https://geni.us/ZqTJ,,,https://s.click.aliexpress.com/e/_c3lECaQP | https://geni.us/ZqTJ
Components,spacer-distance-m2x25,Spacer / Distance M2x25,2,M2x25-3mm,https://s.click.aliexpress.com/e/_c3lECaQP,https://geni.us/Xos0x,,,https://s.click.aliexpress.com/e/_c3lECaQP | https://geni.us/Xos0x
Components,round-coupling-nuts,Round Coupling Nuts,4,"M2 (D3,5mm x 8mm)",https://s.click.aliexpress.com/e/_c3lECaQP,https://geni.us/PY9zxh6,,,https://s.click.aliexpress.com/e/_c3lECaQP | https://geni.us/PY9zxh6
Components,m2x8-3-brass-distance,M2x8+3 Brass Distance,3,M2*8+3,https://s.click.aliexpress.com/e/_c3lECaQP,https://geni.us/yiNHc,,,https://s.click.aliexpress.com/e/_c3lECaQP | https://geni.us/yiNHc
Components,m2x3-brass-standoff,M2x3 Brass Standoff,4,,https://s.click.aliexpress.com/e/_c3mkYh3N,https://geni.us/7ZfOt,,,https://s.click.aliexpress.com/e/_c3mkYh3N | https://geni.us/7ZfOt
Components,mc6s-m2x4,MC6S M2x4,20,M2 Set,https://s.click.aliexpress.com/e/_c31efmKf,https://geni.us/mygGL,,,https://s.click.aliexpress.com/e/_c31efmKf | https://geni.us/mygGL
Components,mc6s-m2x6,MC6S M2x6,20,M2 Set,https://s.click.aliexpress.com/e/_c31efmKf,https://geni.us/mygGL,,,https://s.click.aliexpress.com/e/_c31efmKf | https://geni.us/mygGL
Components,mc6s-m2x4-2,MC6S M2x4,20,M2 Set,https://s.click.aliexpress.com/e/_c31efmKf,https://geni.us/mygGL,,,https://s.click.aliexpress.com/e/_c31efmKf | https://geni.us/mygGL
Components,mc6s-m2-5x5,MC6S M2.5x5,20,M2.5 Set,https://s.click.aliexpress.com/e/_c31efmKf,https://geni.us/UGruk,,,https://s.click.aliexpress.com/e/_c31efmKf | https://geni.us/UGruk
